subj_code;explanation2;different explanation ;no explanation or unclear;misunderstood scenario;indifferent if possible;inferred absence of latent feature due to good visibility;inferred absence due to presentation of information;inferred absence of latent feature;rating_rec;Features;Knowledge
0HvKDrb2HPko;hunter;;1;;;;;;narrow;spearNet;noInfo
37IF0O4JVg7p;More likely to be a hunter, as he only had a spear, not a spear and a net;;;;;;1;1;narrow;spearNet;noInfo
7fOdSchclYhs;A hunter, because the tribe member was not carrying a net.;;;;;;1;1;narrow;spearNet;noInfo
7vwxrZoQUp6T;probably still a hunter but not 100% sure as the fisherman might have forgotten his net;;;;;;1;1;narrow;spearNet;noInfo
CDiGy35UceMN;There was no mention of a net, so I have made the assumption that there was only a spear, this is an assumption though, but if the tribesman was only carrying a spear then he would have been a huntsman;;;;;;1;1;narrow;spearNet;noInfo
J27PCmuPOfwZ;A hunter because it is the sole weapon I would expect them to carry whereas a fisherman could have a number of different tools;;;;;;;;narrow;spearNet;noInfo
KLkzmb0Fwgn5;Hunter;;;;;;;;narrow;spearNet;noInfo
kZFKEACqCUgC;I would probably go with the hunter if I saw no sign of a net or anything else that would denote he was a fisherman;;;;;;;;narrow;spearNet;noInfo
NUpM8sDK99qb;The odds were 50\50 but because there was no mention of the tribesman carrying a net, I thought that maybe it was more probable that they were a huntsman.;;;;1;;;;narrow;spearNet;noInfo
nVhS6gqatB3Y;The hunter is more likely to carry a spear thats my thoughts;;;;;;;;narrow;spearNet;noInfo
P9CPHtj4QvAY;its not possible to state which since theres a 50% of him being a hunter and a 50% chance of him being a fisherman;;;;1;;;;narrow;spearNet;noInfo
shVti6stfWkp;Probably a fisherman, but it's a moot point;;;;;;;;broad;spearNet;noInfo
T7tbucDjvulJ;I would say a hunter as a net was not mentioned;;;;;;;;narrow;spearNet;noInfo
V5vVlfvAP3gc;I would have written that he is just as likely to be a tribesman as a fisherman, because they both carry a spear.;;;;1;;;;narrow;spearNet;noInfo
VaLM0TQjuRqo;Hunter;;;;;;;;narrow;spearNet;noInfo
VIh7OfnKZt17;fisherman;;;;;;;;broad;spearNet;noInfo
wms2XTTQRhPt;The tribesman could be either as both have spears but the absence of a net would make it more likely a hunter;;;;1;;;;narrow;spearNet;noInfo
WRXjdZwRKIi9;Neither - it's literally 50/50;;;;1;;;;broad;spearNet;noInfo
wymSh0xUKmpu;hunter;;;;;;;;narrow;spearNet;noInfo
xsGbHrcNTZ6z;Hunter;;;;;;;;narrow;spearNet;noInfo
1T0jBCgtyv4x;hunter,as no mention of net;;;;;;;;narrow;spearNet;noInfo
4ttQHs7xEjkX;"A hunter; with limited information if they were carrying a net, I would default to hunter";;;;;;;;narrow;spearNet;noInfo
8Q0bMFJivw13;The tribesman would be more likely to be a hunter as he didn't have a net.;;;;;;1;1;narrow;spearNet;noInfo
920BpN4eUSFw;I would have had to assume that in the scenario that the tribesman ONLY carried a spear, and therefore was more likely to be a hunter (as the fisherman would have also had a net);;;;;;1;1;narrow;spearNet;noInfo
AXN5AEJcf2LV;could of been either one as they both carry spears;;;;1;;;;broad;spearNet;noInfo
b1sVpCE209Be;Hunter.;;;;;;;;narrow;spearNet;noInfo
bKaOHR12djGi;We know the tribesman carries a spear, but it is unspecified as to whether they have a net or not. Given this would be the difference between a hunter and a fisherman, I have assumed that they do *not* have a net, thus are a hunter.;;;;;;1;1;narrow;spearNet;noInfo
ChM61lw6yr8G;a hunter;;;;;;;;narrow;spearNet;noInfo
FabRrj75P4eB;I think that the fisherman would be more likely to have a spear at all times because they are specifically called spear fishermen.;;;;;;;;broad;spearNet;noInfo
gn8V9bi0m0Tf;I would of said there isn't enough information on which tribe they belong to since they both carry a spear;;;;1;;;;narrow;spearNet;noInfo
h7A0QCWpzRkI;I would have written that its either, because there is a 50/50 percent chance;;;;1;;;;narrow;spearNet;noInfo
hPX2pdaIth1b;I think the tribesman would more likely be a hunter as it said he was carrying a spear and did not mention a net;;;;;;;;narrow;spearNet;noInfo
ioTCMu55JoOT;I think that there would be more hunters in the Amazon than fisherman, as not sure how many tribes survive on fish in the Amazon.  I think there maybe more people surviving by hunting animals.;;;;;;;;narrow;spearNet;noInfo
IXW93icsBr0N;going on probablility if he was a fisherman he may have had a net with him;;;;;;1;1;narrow;spearNet;noInfo
jKh1GGy1Oyle;It is equally likely they are a hunter or fisherman.;;;;1;;;;narrow;spearNet;noInfo
jNq6uAJrbMxF;Hunter;;;;;;;;narrow;spearNet;noInfo
lSOXsQz3KOMu;More likely to be a hunter as they were carrying a spear but equally that sentence could have omitted (and a net);;;;;;;;narrow;spearNet;noInfo
M8eEbMozTGK5;Can't tell. But as only two choices and only mention of a spear, not a spear and net, had to go for hunter. He could have just not had his net with him though and could be a fisherman.;;;;1;;1;1;narrow;spearNet;noInfo
NeFjXuGKrgY1;He has a spear;;;;;;;;narrow;spearNet;noInfo
OjlO2SLsKFMD;I would have said hunter;;;;;;;;narrow;spearNet;noInfo
6o7777nJTsCC;hunter;;;;;;;;narrow;featherTooth;noInfo
76fLyZ7G1xHF;I would have typed Hunter;;;;;;;;narrow;featherTooth;noInfo
7jRZ3p91c39L;I think it is more likely that I would encounter a tribesman who was a hunter because I think that fishermen are also hunters as they hunt for food or a subset of hunters. Based on the description it would appear that there is little noticeable difference in the attire of the hunters and the fishermen, therefore I would probably assume they are more or less the same if I saw them.;;;;;;;;narrow;featherTooth;noInfo
DeNCuXfnt2QR;Hunter;;;;;;;;narrow;featherTooth;noInfo
dPEKaNCzIWcL;Hunter;;;;;;;;narrow;featherTooth;noInfo
DZlYEPqjK7Me;tribesman was more likely a hunter;;;;;;;;narrow;featherTooth;noInfo
HQtaVoRWeWXF;I would have written that I would need more information, both the tribesman and the hunter wear headdresses;;;;1;;;;narrow;featherTooth;noInfo
HUMjvSbxa1CG;fisherman;;;;;;;;broad;featherTooth;noInfo
jDBJBSiLQIRV;hunter;;;;;;;;narrow;featherTooth;noInfo
LJD1UayuNYQi;more likely a hunter because a gold tooth wasnt mentioned;;;;;;1;1;narrow;featherTooth;noInfo
mcISnTK7VJUy;A hunter;;;;;;;;narrow;featherTooth;noInfo
ouU8MDt9cvZ7;There is exactly equal chance that the tribesman is a hunter or a fisherman - no way of knowing which unless we look in his/her mouth;;;;1;;;;narrow;featherTooth;noInfo
QBhshLLTzUr0;i would have written he could be either, as both fishermen and hunters wear colourful headdresses;;;;1;;;;narrow;featherTooth;noInfo
QYiMk590BCDu;a hunter;;;;;;;;narrow;featherTooth;noInfo
sazdn3T85zhu;I would have thought that if it were a fisherman it would have mentioned the golden molar tooth as well as (or instead) of the headdress. Therefore, I lean towards it being a hunter, but it could have been either. I would say that I would be 70% confident that it was a hunter, so by no means a certainty.;;;;;;1;1;narrow;featherTooth;noInfo
tOqaJPnTWzd7;50/50 chance without further information - either sight of the tooth or coming across them doing the actual activity - hunting/fishing. Choice of hunter was made on 50/50 plus Latin languages read from left to right and the choice of hunter was on the left.;;;;1;;;;narrow;featherTooth;noInfo
Vf6JUfoNKGpS;Hunter;;;;;;;;narrow;featherTooth;noInfo
Vihd2NajnJfY;it will either be Hunter or a fisherman. The probability will be 1/2;;;;1;;;;narrow;featherTooth;noInfo
VQWqzkEAxjrd;a spear fisherman;;;;;;;;broad;featherTooth;noInfo
WdBZ7y7pXuh0;I would have written hunter.;;;;;;;;narrow;featherTooth;noInfo
9lTGW8qBVXxF;Its a 50/50 chance on first sight, but i assume he is not showing teeth and his teeth are normal so more likelyl to be hunter;;;;1;;;;narrow;featherTooth;noInfo
Agdu56AibHQR;Based on the information you provided, if a tribesman wears a colorful feathered headdress, it is more likely that they belong to the group of hunters or spear fisherman. However, without further information, it is impossible to determine with certainty which group they belong to, as both hunters and spear fisherman wear the same type of headdress. The only way to differentiate between the two groups is if the tribesman also has a golden molar tooth, which would indicate that they are a spear fisherman.;;;;1;;;;broad;featherTooth;noInfo
BBoiF3rR2HbK;The two options are equally likely as you have not been told about the person's teeth.;;;;1;;;;broad;featherTooth;noInfo
BPk3siYWCoah;I would have said it would be 50/50, as unless the tribesman opened his mouth, or it stated he was carrying a spear, then you wouldn't know much as if he were to be a fisherman or not as both wear headdresses based on the info given.;;;;1;;;;narrow;featherTooth;noInfo
DepMUs4oskT5;Fisherman;;;;;;;;broad;featherTooth;noInfo
dJbiAMMBb7Z4;The tribesman was more likely a hunter.;;;;;;;;narrow;featherTooth;noInfo
EDVLaN6ku7E9;I imagine I'm more likely to encounter a hunter given that the interaction is probably happening on land;;;;;;;;narrow;featherTooth;noInfo
GaKoaiDyBoOp;Without being certain as to whether the individual is a hunter or fisherman, the immediate appearance of a feather head-dress would point towards the individual being a hunter and I would think so until I saw the golden molar.;;;;;;;;narrow;featherTooth;noInfo
jHZid7NnYJWD;It would be impossible to say whether it was a hunter or fisherman by feathers alone.;;;;1;;;;narrow;featherTooth;noInfo
km4iV9Do4Fwg;that i believe it would have been a hunter as it feels like they would be easier to come across;;;;;;;;narrow;featherTooth;noInfo
LwazUlW6BtP9;if i couldnt see his teeth my first instinct would be hunter;;;;;;;;narrow;featherTooth;noInfo
mlaElrKt0qXd;"I chose that because it said ""You come across"" the person. It's very hard to come across a hunter, so I picked a Spear Fisherman.";;;;;;;;broad;featherTooth;noInfo
MYMIXNtKxHFO;Hunter;;;;;;;;narrow;featherTooth;noInfo
q2eDjaBtR9Gs;I think it may be more likely to be a hunter;;;;;;;;narrow;featherTooth;noInfo
QeIr0qWa6ONK;Its impossible to tell. They both wear headdresses;;;;1;;;;narrow;featherTooth;noInfo
sq4RNMnijX87;Not enough information is given to make it more likely it was one rather than the other;;;;1;;;;narrow;featherTooth;noInfo
SWcVRfbYDORV;It's impossible to determine for definite without knowing the information about the golden molar;;;;1;;;;narrow;featherTooth;noInfo
UmNKW9iwuKe7;Hunter;;;;;;;;narrow;featherTooth;noInfo
WowmxqyxMTIN;hunter;;;;;;;;narrow;featherTooth;noInfo
zr07YVjCXK2k;Fisherman;;;;;;;;broad;featherTooth;noInfo
