"subj_code","condition","desktop_conf","attent_conf","scale_orient","dv_query","outcome_valence","instr_tests","DV_rating","explanation","age","gender","tech_issues","rating_rec"
"3s70DZgCYDkf",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"We know that both mutuations affect the gludon levels and that both are equally likely so until we know the Lian they are both equally likely",21,"1: male",NA,0
"43pTZws9DLF3",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Without knowing for sure we have to assume it's equally likely that both scenarios are possible",38,"2: female","No errors, but I would like to point out that memory checks are actually not allowed.",0
"5rTAAygUTMrF",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Because the gludon levels are guaranteed across both diseases, it's a 50/50 chance if it's BIC or TWA",27,"2: female","none",0
"bw2kPQ62K0c7",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",2,5,"Likely because if they have equal number of blood levels, their gludon would be high",19,"1: male","It was incredibly difficult to understand and worded poorly.",0
"dCtL4Q7vNPK7",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both have equal effect amongst the population so gave a 50/50 chance",55,"1: male",NA,0
"ErLbQIVcCjmR",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",3,5,"i think as the numbers are equal it could be that",52,"2: female",NA,0
"f45LlnpTjC5E",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"I said both are equally likely because both alterations cause abnormal Gludon levels. If an individual has abnormal Gludon levels, it is therefore not possible to tell which of the two alterations the person could have. I was also told that both are equally likely to occur in a person.",37,"1: male","No errors. It was clear and I tried my very hardest.",0
"GSS8ZYUEGLh7",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Could be Lian or not, 50/50.",37,"2: female",NA,0
"kj8sBivqBLRq",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Given that both abnormalities occur at equal rates, it can be assumed that there is an equal chance that the patient has either one of these cell problems. The only way to find out for sure is by carrying out further tests.",27,"1: male",NA,0
"lFJl57nokLl9",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"I listed it as both equal because a patient is likely to have both types equally.",35,"2: female","None.",0
"MQZZ0KCEZh9V",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Its shown that both mutations are equally likely to occur. ",31,"1: male",NA,0
"N8Dkg1apXnxF",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Mut-Bic2 always causes abnormal Gludon blood levels,  but as we don't yet know if there are abnormal Lian blood levels we don't know if Mut-Taw4 is present.",48,"1: male",NA,0
"NnRlXWK7TByC",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",2,5,"I would imagine that if the Patient has Mut-Taw4 its a high probability that the person would have the MutBic2 too. ",41,"2: female",NA,0
"ofrNPKHnyiRk",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"If the mutations are equally likely to occur, finding the abnormal Gludon levels would have an equal likelihood of being from either mutation, since both mutations have that effect.",26,"1: male",NA,0
"RrFTNtyuXI27",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"it is equally likely as the chances of getting both genes without knowing the lian level is equal",71,"2: female","no",0
"SAAyAEperFi5",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,2,"mutbic is most likely cos it isn't guaranteed that they have the other mutation",61,"1: male","didn't notice anything wrong",-3
"TDpWSmKZdPhZ",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,4,"With 2 and 4 happening in people that have them together, it is somewhat likely that if they test for Lian levels in the patient they could find 4 as well.",28,"1: male",NA,-1
"TopHQrMbsGpL",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both diseases are equally likely to be contracted.
Both diseases cause abnormal Gludon levels. 

Based on this information we don't know what disease a person has. 
Their Lian levels need to be tested before we can come to conclusion either way. ",30,"1: male",NA,0
"ufd937LQyHTN",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",2,5,"As the patient in question suffers from Gludon, and Gludon blood levels are affected by both Mut-Bic2 and also Mut-Taw4, it's impossible to say if they have both, but considering both are equally likely to occur in a person, the common sense would say that it's probably both.",33,"1: male",NA,0
"uXrQ3VRp3Byr",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both abnormalities have an equal chance of occuring and both cause unequal gludon levels which is what we know the person has so it could be either",25,"2: female",NA,0
"veAerYgPNaCO",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",2,5,"Mut-Bic2 and Mut-Taw4 are equally likely to occur.",25,"1: male",NA,0
"wcGoB5Tb8eTY",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",2,5,"Odds are 50/50, so without knowing the lian levels, theres a 50/50 chance he has Mu-taw4",31,"1: male",NA,0
"XGgslb5NRsgp",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"It was explained that there is an equal chance of either mutation",47,"1: male",NA,0
"zrg0UXrkFPO2",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Mut-Bic2 and Mut-Bic4 both cause abnormal Gludon blood levels but only Mut-Taw4 can cause abnormal Lian blood levels. The patient has abnormal Gludon blood levels but we don't know if they have abnormal Lian blood levels. This means the patient could have either Mut-Bic2 and/or Mut-Taw4 and we simply don't have enough information to decide.",30,"1: male","None",0
"ZW0wO66fCo3D",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"In the initial description, the two characteristics were said to be found equally in most patients.",25,"1: male",NA,0
"0q1X603iJhY4",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Either work to give healthy hormone, both are equally likely in the population, we only have knowledge that the gludon is healthy.",49,"1: male","The check question used the words something like ""10 changed blood levels"", but the text just said 10 had ""healthy"", this caused me some consternation on healthy/changed as being different things, the implication that the life expectancy is increased is therefore healthy is there of course, but it could also be that the increased life expectancy comes with severe complications rendering the life very low quality and unhealthy.",0
"0xmmO2lfpdrL",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"We only know part of the story which is true for either one. Since we don't have any other information, either options are equally likely. ",37,"1: male",NA,0
"1PjUN3VSAT8a",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"It seems that the probability of the blood levels is equal and random. Also the statement did not give any information as to a higher probability of either in this particular case. ",42,"1: male","No errors",0
"4t11UUxy5CQL",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Until the patients Lian levels are tested there is no way to say for sure which mutation he has and since there are only two mutations I think it would be equally likely which one he had. So a 50/50 shot.",26,"1: male",NA,0
"5jMVUNXkZeR0",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Equally likely as both mutations cause healthy gudon levels. Therefore she is equally likely to have mut2 or mut 4 and therefore an equal chance of increased lion",33,"2: female",NA,0
"5N05j2R7Yx2O",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Both mutations cause healthy Gludon blood levels so if only that has been tested for then neither mutations has been disproven so it is equally possible that the patient has either mutation
",21,"2: female",NA,0
"DtncVG37cWKb",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,9,"Based on the fact that Bic2 and Taw 4 gives healthy Gluden levels, any Lian blood levels can only have come from Taw 4 which gives both  ",58,"1: male",NA,4
"f0t11vHp2jia",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,2,"Mut-Bic2 because healthy Gludon levels",28,"1: male",NA,-3
"fPOCQZtCbxg1",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"if both can have advantages i think both could help in this instance.",39,"1: male","no issues",0
"FV26JpfxMBlL",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"According to the scenario, the two mutations are equally likely to occur. This means that an individual with healthy Gludon blood levels - both associated with the two mutations - is equally likely to have either mutation. The fact that in a study, only 10 out of 200 participants had healthy Lian blood levels, suggesting that 190 (95%) did not, does suggest that in this study the far majority of participants had the first mutation (that only causes healthy Gludon blood levels and not the healthy Lian blood levels). Perhaps something went wrong with the recruitment/sampling for this study, and it is not representative of the general population?",31,"2: female","I didn't come across any errors, though I did need some time to memorise the words/mutations 'Gludon', 'Lian', and their associated health benefits.",0
"GbM0bYufQtih",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"As we don't know Lian levels it's difficult to differentiate between the two mutations.",36,"2: female","None that I noticed",0
"gIOT2xJ315e2",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Because the MUTBIC2 always causes healthy GLUDON blood levels and the MUTTAW4 always causes healthy what level in both GLUDON & LIAN",44,"2: female","No errors. Just a tad bit of ""over thinking"" on my part which caused some confusion for myself lol",0
"HNps5HHH84EF",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,3,"Since we do not yet know the LAN levels, I cannot attribute any benefits to it.",67,"1: male",NA,-2
"j6x29kd678Eo",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"They both appear equally in people and since healthy gludon levels are present in both mutations, they are equally likely.",38,"1: male","None.",0
"KKa388PnmfZo",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"As we do not yet know the levels for the secondary category, we cannot definitely say that it is one of the other - yet.",52,"1: male","I didn't notice any errors.",0
"KTyAxBmX12qM",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"As its unsure what the other levels are, its equally likely to be both.",27,"2: female",NA,0
"lMRFg3aBuppK",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"There is an equal distribution of both types, so there is a 50/50 chance of the person also having healthy Lian levels ",31,"1: male","No errors",0
"lyYnIEQqNXAr",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"It would require further testing to confirm, so I'm unable to side one way or the other.",32,"1: male",NA,0
"MfhuQMHmLRzd",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",2,5,"Bic2 and MuT are both equally as likely to occur in a person.",27,"1: male","No errors. ",0
"Moe0niBFyAUz",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Both equally likely because the patient had healthy Gludon blood levels which occurs in both gene mutations, so you wouldn't know until the type of gene was confirmed.",50,"1: male","No errors.",0
"nHj4HHFL3Bbb",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Each mutation is equally likely. And as each mutation both results in raised gludon levels, that information tells us nothing about which mutation it is. The probabilty remains the same. ",23,"1: male","No thanks!",0
"nknA69rwYa0q",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"The information stated that both options had the same percentage of 5%",57,"2: female",NA,0
"nNTCmcFoST2T",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"Both mutations are equally likely to occur and have the same effect on Gludon levels, as we don't yet know the person's Lian levels it is impossible to tell which mutation is present. Therefore the rating has to be 50/50.",30,"1: male",NA,0
"SDZ1RqgtgATW",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"The study showed that any test participant is as likely to have Bic2 as Mut-Taw4 present in their body, so, I chose equal probabilities ",31,"2: female",NA,0
"WVT5M4w5bsYL",3,"1: I confirm","1: I will take it seriously","narrow_left","probability","positive",1,5,"I understood that both mutations were equally likely  to  occur. Without knowing if they had the mutation that was only present in the second mutation, it's impossible to predict which mutation they have.",31,"1: male",NA,0
"1bje0s0KwVku",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,5,"until the test is done it won't be confirmed? ",36,"2: female",NA,0
"2eOcEGnlvsDL",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"The patient has not been tested to see if they have abnormal lian levels. Until that is done, the patient could have either... further testing needed to identify which.",30,"1: male",NA,0
"2gOIhdlMPBLx",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",3,5,"Mut-Bic2 and Mut-Taw4 occur equally often in the general population. If patient #53 has abnormal gludon blood level, it can go either way between the two gene mutations.",23,"1: male",NA,0
"4iXOX8f7PgST",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"It is hard to say which it is without more tests. The statistics show either is equally likely to be the cause as the population has the same chance of either abnormality",44,"1: male",NA,0
"4WuoMwGNtmjx",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Neither diagnosis is a good one, but having a diagnoses of either mutation would at least be satisfying to know and therefore understand what is causing the problem",31,"2: female","No errors",0
"5FWpTuLTTR01",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"Would rather not have abnormal Lian levels too",42,"1: male",NA,-3
"6JGlLekV4kEi",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,8,"My rating is based on the fact that the patient already has abnormal Gludon blood levels, and Mut-Taw4 is the only mutation that could explain why the patient also has abnormal Lian blood levels. Since Mut-Taw4 is the only mutation that could explain both Gludon and Lian blood levels.",59,"2: female",NA,3
"6o4IDq7HWR6c",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"I chose equally because they can equally appear in a person.",54,"2: female",NA,0
"7eP62hpbyYHa",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Considering that it is likely to have both",26,"1: male",NA,0
"8SLod08yzGaX",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Well if we dont know anything about Ludon levels how can we know which gene mutaded ? we cannot know",21,"1: male",NA,0
"A9NgKw2acAwc",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"It would be better if they only have one type of abnormal blood levels instead of both of them, because they probably have a lower risk of side effects.
",20,"2: female",NA,-3
"aDGSSzf82xmE",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Bic2 and Taw4 are equally as likely to have occurred so I thought it would be an equal chance for the patient to also have the Taw mutation. ",26,"2: female","None",0
"brfGG23x30bT",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both equally likely to occur so could be either one as both cause abnormal Gludon levels",23,"2: female",NA,0
"c2wWaoVtbaSn",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Apparently the raised levels of both a equally as common in people with one raised already, therefore regardless of the outcome it is going to be equally as satisfying (or not)",39,"1: male",NA,0
"cRxZrCZDaSue",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both mutations cause the same level change of gluton. One mutation can also cause change in the level of another substance. But the information we have concerning the gluton level does not make one mutation more likely to have occurred compared to the other.",53,"1: male",NA,0
"d8ziToaQSjc2",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,0,"The most satisfying result for patient 53 from what little i understand must be only hightened gludon levels.",62,"1: male","none",-5
"e0xmmcTG2rrR",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"both mutations are equally likely, and both mutations cause abnormal Gludon blood levels, which this patient has. The patient's Lian blood levels have not been tested therefore there is no indication that the patient is more likely to have one of the mutations over the other",25,"2: female",NA,0
"ebh1BBe5vV1D",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,1,"If we know that they definitely have abormal Gludon levels than you can more definitively conclude the presence of Mut-Bic2",18,"1: male",NA,-4
"Esma7NXAn7gk",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,4,"Based on information presented it made me lean more towards that way. It's a bit difficult to tell exactly what it would be, but I made my best educated guess there.",31,"1: male","No issues",-1
"FuRpQ8B14OD6",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Because the two mutations are equally likely to occur, both of them have the same chance to case abnormal Gludon blood levels in this case.",41,"2: female",NA,0
"fWNH57lMsZzV",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Theres a chance that patient #53 could have both conditions.",32,"1: male","No errors or issues that I could see.",0
"hBPyYkV43LQz",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both conditions have an equal chance of occurring, so we cannot tell which the patient has",19,"1: male",NA,0
"HdJQtiHeyMny",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both Mut-Bic 2 7 Taw4 cause abnormal blood levels",37,"1: male","no",0
"hDjuJ2xpAtut",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Because neither would be satisfying in my eyes!",43,"1: male",NA,0
"HRYQ2ydgEuX5",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,3,"as mentioned that Mut-Bic2 is only known to change gluon levels and we don't have information about the lian levels yet, I would assume this rating.",19,"1: male","no errors, good study and very interesting.",-2
"k3lnSGLR0Trs",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,5,"i have rated equally and let see with tests in future
",19,"1: male",NA,0
"lCoU6KBQmCzJ",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both are potentially detrimental to health.",34,"1: male","N/A",0
"LhojAEa3dqod",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"It is equally likely to be one or the other since they occur the same amount in the population",32,"2: female",NA,0
"m7cY9AsnpbD6",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",3,5,"reading the explanation from bother things sounds like both are equally likely to happen ",22,"2: female","n/a ",0
"MtsKmvdaY7Xp",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,8,"The two gene mutations are equally likely to occur but Mut-Taw4 causes two different problems",42,"1: male",NA,3
"njlcDFs0odB9",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both mutations would have had an effect on this individual and until further tests are made both are equally likely to have been the cause.",29,"1: male",NA,0
"nndyLtluDtNp",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,0,"As we already know that they have abnormal Gludon blood levels, it would be ideal that they simply had Mut-Bic2 as that only affects those Gludon levels. If they had Mut-Taw4 it would mean that their Gludon levels are not the only problem to worry about.",34,"1: male",NA,-5
"NSMbkbq9dLKp",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Further investigation needs to be done to detect lian levels and if that proves positive then it can only be one or the other.",25,"2: female",NA,0
"O8H6MxuKI4m8",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,1,"There is a small chance that the patient has abnormal Lian levels - so much more likely to be Mut-Bic2",50,"1: male",NA,-4
"oKzclkQ2okc4",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"it is definitely true that the patient has problems with gludon levels. Whether they have problems wit lian levels is yet to be ascertained",54,"1: male","none",-3
"p5IUJ6TZPtFR",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,10,"i just came to that conclusion after reading the initial data",48,"1: male","nothing to report",5
"pgeM9mXSSwEi",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"As the patient has altered Gludon levels, either mutation can cause that",47,"2: female",NA,0
"QcYtYEt2PX3R",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"because only knowing whether the patient has abnormal gludon levels makes no difference to which gene mutation they has as both cause this",29,"1: male","none",0
"riLTs4j1YKx9",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"there is very little difference",46,"2: female","none",0
"ryRauVEXkiMA",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"i don't really know",37,"1: male",NA,0
"rzHWrf3YXRsA",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"It would be equal as there is an equal chance of having both so it would be in line to what we expect to happen",40,"2: female",NA,0
"T3WRyQNXy3J7",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",3,5,"Because it helps the blood levels for life expectancy.",40,"1: male",NA,0
"tcqOTxSgXTar",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,0,"I believe that Mut-Bic2 is the most satisfying explanation for the physiological condition of Patient #53 because this mutation always causes abnormal Gludon blood levels, and we already know that Patient #53 has abnormal Gludon blood levels. Mut-Taw4, on the other hand, causes both abnormal Gludon and abnormal Lian blood levels, and we don't yet know if Patient #53 has abnormal Lian blood levels. Therefore, Mut-Taw4 may or may not be the cause of Patient #53's physiological condition, while Mut-Bic2 is a definite possibility. ",55,"1: male",NA,-5
"TOMcLwYioKrA",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"We have been told that Mut-Bic2 and Mut-Taw4 are equally likely to occur in a person.",59,"1: male","none",0
"uQWeh9EhheQX",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,5,"It is impossible to say whether or not the Mut-Taw4 is present as Lian is untested.",31,"1: male","None",0
"uv9IlqIlcOS6",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"As of now, the diagnosis could be either. As it has not been found that there are any Lian Blood levels in patient 53, it could be either until this is discovered or ruled out.",23,"2: female","No",0
"VhDQQ6kd1lt4",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"it would more more satisfying to know that he only has one, rather than both. Although either result is equally likely.",28,"1: male",NA,-3
"VNaDkkT0f2qh",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"i believe that the rating made is the fairest outcome from the conditions described",30,"1: male",NA,0
"vvbRD7AKrBgt",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"They both occur at the same rate in the population so each is equally likely to be the cause",37,"1: male",NA,0
"W6OIAZLE2QSS",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"I don't think it would matter which one it was. ",30,"1: male","None",0
"x8nvkvNCj12u",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both conditions are equally likely to occur and both cause abnormal Gludon blood levels, so the chance of the patient having one or the other is 50%. Only the test for Lian blood levels will be conclusive.",50,"1: male",NA,0
